step	position_z	abs(a)	abs(b)
175	17.5000000000	0.2535523923	0.7464476077
176	17.6000000000	0.2540228407	0.7459771593
177	17.7000000000	0.2544585418	0.7455414582
178	17.8000000000	0.2548593751	0.7451406249
179	17.9000000000	0.2552252295	0.7447747705
180	18.0000000000	0.2555560039	0.7444439961
181	18.1000000000	0.2558516067	0.7441483933
182	18.2000000000	0.2561119561	0.7438880439
183	18.3000000000	0.2563369800	0.7436630200
184	18.4000000000	0.2565266161	0.7434733839
185	18.5000000000	0.2566808120	0.7433191880
186	18.6000000000	0.2567995251	0.7432004749
187	18.7000000000	0.2568827223	0.7431172777
188	18.8000000000	0.2569303808	0.7430696192
189	18.9000000000	0.2569424873	0.7430575127
190	19.0000000000	0.2569190385	0.7430809615
191	19.1000000000	0.2568600409	0.7431399591
192	19.2000000000	0.2567655107	0.7432344893
193	19.3000000000	0.2566354742	0.7433645258
194	19.4000000000	0.2564699674	0.7435300326
195	19.5000000000	0.2562690359	0.7437309641
196	19.6000000000	0.2560327356	0.7439672644
197	19.7000000000	0.2557611317	0.7442388683
198	19.8000000000	0.2554542995	0.7445457005
199	19.9000000000	0.2551123237	0.7448876763
200	20.0000000000	0.2547352992	0.7452647008
201	20.1000000000	0.2543233302	0.7456766698
202	20.2000000000	0.2538765308	0.7461234692
203	20.3000000000	0.2533950245	0.7466049755
204	20.4000000000	0.2528789447	0.7471210553
205	20.5000000000	0.2523284342	0.7476715658
206	20.6000000000	0.2517436454	0.7482563546
207	20.7000000000	0.2511247401	0.7488752599
208	20.8000000000	0.2504718895	0.7495281105
209	20.9000000000	0.2497852744	0.7502147256
210	21.0000000000	0.2490650848	0.7509349152
211	21.1000000000	0.2483115200	0.7516884800
212	21.2000000000	0.2475247886	0.7524752114
213	21.3000000000	0.2467051082	0.7532948918
214	21.4000000000	0.2458527058	0.7541472942
215	21.5000000000	0.2449678173	0.7550321827
216	21.6000000000	0.2440506875	0.7559493125
217	21.7000000000	0.2431015703	0.7568984297
218	21.8000000000	0.2421207283	0.7578792717
219	21.9000000000	0.2411084331	0.7588915669
220	22.0000000000	0.2400649647	0.7599350353
221	22.1000000000	0.2389906120	0.7610093880
222	22.2000000000	0.2378856723	0.7621143277
223	22.3000000000	0.2367504514	0.7632495486
224	22.4000000000	0.2355852634	0.7644147366
225	22.5000000000	0.2343904309	0.7656095691
226	22.6000000000	0.2331662846	0.7668337154
227	22.7000000000	0.2319131631	0.7680868369
228	22.8000000000	0.2306314134	0.7693685866
